incident_id,entity_name,State,third_party_involved,individuals_affected,breach_date,breach_type,breach_location,date_reported,incident_summary,breach_start,breach_end,year,incident_status,incident_duration_days,critical_incident,severity,event_date
10,The Children's Hospital of Philadelphia,PA,Unknown,943,2009-10-20,Theft,Laptop,2014-01-23,Not provided,2009-10-20,,2009,Open,,0,Medium,2014-01-23
11,"Cogent Healthcare of Wisconsin, S.C.",TN,Unknown,6400,2009-10-11,Theft,Laptop,2014-04-23,"A laptop was stolen from a locked office at the Aurora St. Lukes Medical Center.  The laptop contained protected health information pertaining to 6,400 individuals.  The information included patient names, dates of birth, social security numbers, medical record numbers, and in some cases diagnosis codes.  In response to the theft, the hospital implemented several corrective action measures, including accelerated efforts to encrypt all laptop hard drives, improved physical locks on the office where the theft occurred, staff training regarding the appropriate use and storage of devices containing ePHI, and encryption of portable flash drives and Blackberry devices.",2009-10-11,,2009,Open,,0,Medium,2014-04-23
12,Universal American,NY,"Democracy Data & Communications, LLC (",83000,2009-11-12,Other,Paper,2014-01-23,"In its breach report and during the course of OCR's investigation, the covered entity advised that it took various corrective actions to prevent a reoccurrence of the breach.  Specifically, the covered entity conducted a risk assessment which revealed that the breach posed a significant risk of financial, reputational, or other harm to the 83,000 members.  The covered entity sent notification letters to 83,000 members apologizing for the breach and offered a year of free credit monitoring and a $25,000 insurance policy against identity theft ($10,000 for New York residents).  The covered entity also provided training to its call centers on November 29, 2009 to answer inquiries from callers concerned about the breach.  In addition, media outlets were contacted to alert of a breach in states in which more than 500 members were impacted by the breach.  The covered entity advised that media outlets were identified based on location of membership impacted, as well as ensuring it was a major media outlet and press releases were sent to 21 major media outlets on December 18, 2009.  The covered entity also created and implemented a new policy titled 'Personal Health Information and Personal Identifiable Information Data Security and Handling Policy Acknowledgement Form'  that centralized all data requests through a 'Team Track'  which is an internal electronic submission request that ensures all PHI requested data receives the sign off of the Privacy Officer and Security Officer prior to release.  Further, the covered entity also provided a mandatory annual computer-based training to all staff in May 2010.

",2009-11-12,,2009,Open,,0,Medium,2014-01-23
13,Kern Medical Center,CA,Unknown,596,2009-10-31,Theft,Other,2014-01-23,Not provided,2009-10-31,,2009,Open,,0,Medium,2014-01-23
14,"Keith W. Mann, DDS, PLLC",NC,"Rick Lawson, Professional Computer Services",2000,2009-12-08,Hacking/IT Incident,"Desktop Computer, Network Server, Electronic Medical Record",2014-01-23,Not provided,2009-12-08,,2009,Open,,0,Medium,2014-01-23
15,Detroit Department of Health and Wellness Promotion,MI,Unknown,10000,2009-10-22,Theft,Other Portable Electronic Device,2014-01-23,Not provided,2009-10-22,,2009,Open,,0,Medium,2014-01-23
16,Detroit Department of Health and Wellness Promotion,MI,Unknown,646,2009-11-26,Theft,"Laptop, Desktop Computer",2014-01-23,"A desktop and four laptop computers were stolen from the covered entity's locked facility.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, types of services received, and Medicare/Medicaid numbers.Following the breach, the covered entity installed new office door locks with assigned keys, installed security cameras with alarms, and physically secured computers to desks.  The covered entity now stores billing information in its patient management system, and it ensured that no electronic protected health information was stored locally. Additionally, OCR's investigation resulted in the covered entity providing training to workforce members regarding the incident

",2009-11-26,,2009,Open,,0,Medium,2014-01-23
17,"University of California, San Francisco",CA,Unknown,610,2009-09-22,Other,E-mail,2014-01-23,Not provided,2009-09-22,,2009,Open,,0,Medium,2014-01-23
18,Daniel J. Sigman MD PC,MA,Unknown,1860,2009-12-11,Theft,"Other Portable Electronic Device, Other, Electronic Medical Record",2014-01-23,"Computer backup tapes containing EPHI for the office practice management program including electronic medical records were stolen from the home of the practice manager on December 11, 2009.   The breach affected approximately 1,860 patients. The protected health information on the tapes contained patients' names, addresses, telephone numbers, dates of birth, insurance information, social security numbers and medical record information.  Following the breach, Sigman took the following voluntary corrective actions: (1) upgraded software application for backup security; implemented a new external backup system in case the server goes down; (2) encryption software was implemented for data contained on both its backup tapes and network storage device; (3) revised its security policy for transporting backup media; backup tapes must now be stored in a lockbox within a locked office in its facility; the revised policy also prohibits the movement of backup tapes from the facility as well as restricts access to the tapes to designated workforce; (4) employees were retrained on the policies and procedures in place and received training on the new policies and procedures for safeguarding backup tapes; (5) notified affected individuals and the media. 

",2009-12-11,,2009,Open,,0,Medium,2014-01-23
19,Massachusetts Eye and Ear Infirmary,MA,Unknown,1076,2009-11-10,Theft,Other,2014-01-23,Not provided,2009-11-10,,2009,Open,,0,Medium,2014-01-23
20,BlueCross BlueShield Association,DC,Service Benefits Plan Administrative Services Corp,3400,2009-10-26,Theft,Paper,2014-06-30,"The covered entity's (CE) business associate (BA) incorrectly updated contract holders' addresses and mailed protected health information (PHI) to the wrong address of approximately 3,400 individuals.  The PHI involved included demographic information, explanations of benefits, clinical information, and diagnoses.  The breach incident involved a BA and occurred prior to the September 23, 2013, compliance date.  Upon discovery of the breach, the CE obtained assurances that the BA took steps to enforce the requirements of the BA agreement.  Specifically, the BA updated its processes and created an incident tracking report.  In addition, a contract was executed for a new vendor to handle mail address verification. Following OCR's investigation, the BA improved its code review process to catch the system error that caused this incident and instituted a manual quality review process.  OCR verified that the CE had a proper BA agreement in place that restricted the BA's use and disclosure of PHI and required the BA to safeguard all PHI.



",2009-10-26,,2009,Open,,0,Medium,2014-06-30
21,BlueCross BlueShield Association,DC,Merkle Direct Marketing,15000,2009-10-07,Theft,Paper,2014-04-24,"The covered entity's (CE) business associate (BA) mailed protected health information (PHI) of approximately 15,000 individuals to incorrect addresses due to an error in its quarterly address update process.  The mailing contained demographic information, explanations of benefits, clinical information, and diagnoses. Upon discovery of the breach, the CE collected the returned mail and verified that it had not been delivered, and updated its HIPAA policies and procedures. Following OCR's investigation, the CE was able to recover all or nearly all of the misdirected envelopes. ",2009-10-07,,2009,Open,,0,Medium,2014-04-24
22,Kaiser Permanente Medical Care Program,CA,Unknown,15500,2009-12-01,Theft,"Other Portable Electronic Device, Other",2014-01-23,Not provided,2009-12-01,,2009,Open,,0,Medium,2014-01-23
23,Blue Island Radiology Consultants,IL,United Micro Data,2562,2009-12-09,Theft,Other,2014-06-30,"The covered entity's (CE's) business associate (BA) mailed a package to the CE that was supposed to contain a backup data tape and compact disc containing protected health information (PHI); however, the tape was not in the package when delivered.  Approximately 2,000 individuals were affected by the breach. The PHI included demographic, financial, and clinical information.  The CE provided breach notification to affected individuals, HHS, and the media.  Following the breach, the CE revised its procedures for back up data storage instead of sending tapes via the mail.  Following OCR's investigation, the CE continued to reevaluate ways to enhance administrative, physical, and technical safeguards.

",2009-12-09,,2009,Open,,0,Medium,2014-06-30
24,"Goodwill Industries of Greater Grand Rapids, Inc.",MI,Unknown,10000,2009-12-15,Theft,Other,2014-01-23,"On December 15, 2009, a safe was stolen from Goodwill's off-site facility, which contained five unencrypted back-up tapes.  The breach affected approximately 10,000 individuals.  The protected health information involved in the breach included full names, addresses, dates of birth, reasons for referral, dates of service, miscellaneous demographics, and, in some cases, Social Security numbers.  The covered entity moved the off-site storage of back-up tapes to a new site controlled by Goodwill.  The tapes are now kept in a commercial grade safe with a combination lock.  The actions taken by Goodwill prior to OCR's formal investigation brought the covered entity into compliance.  

",2009-12-15,,2009,Open,,0,Medium,2014-01-23
25,Children's Medical Center of Dallas,TX,Unknown,3800,2009-11-19,Loss,"Other Portable Electronic Device, Other",2014-01-23,Not provided,2009-11-19,,2009,Open,,0,Medium,2014-01-23
26,Concentra,TX,Unknown,900,2009-11-19,Theft,Laptop,2014-01-23,Not provided,2009-11-19,,2009,Open,,0,Medium,2014-01-23
27,Ashley and Gray DDS,MO,Unknown,9309,2010-01-10,Theft,Desktop Computer,2014-01-23,Not provided,2010-01-10,,2010,Open,,0,Medium,2014-01-23
28,Advocate Health Care,IL,Unknown,812,2009-11-24,Theft,Laptop,2014-01-23,"On November 24, 2009, an Advocate nurse's laptop computer was stolen.  The missing laptop computer contained the protected health information of approximately 812 individuals.  The protected health information involved in the breach included name, address, dates of birth, social security numbers, insurance information, medication, and diagnoses. Following the breach, Advocate specifically addressed mobile device security and accepted use. Additionally, OCR's investigation resulted in Advocate workforce members that use mobile devices are now required to fill out and submit an acknowledgment form that establish proper administrative, technical, and physical security safeguards.  

",2009-11-24,,2009,Open,,0,Medium,2014-01-23
29,The Methodist Hospital,TX,Unknown,689,2010-01-18,Theft,Other,2014-01-23,"An unencrypted laptop computer was stolen from the covered entity's unlocked testing office.  The laptop computer contained the protected health information of approximately 689 individuals.  The protected health information involved in the breach included names, dates of birth, Social Security numbers, and the age, gender, race, and medication information of affected individuals.  Following the breach, the covered entity restricted the storage of electronic protected health information to network drives.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",2010-01-18,,2010,Open,,0,Medium,2014-01-23
30,"University of California, San Francisco",CA,Unknown,7300,2009-11-30,Theft,Laptop,2014-01-23,Not provided,2009-11-30,,2009,Open,,0,Medium,2014-01-23
31,Carle Clinic Association,IL,Unknown,1300,2010-01-13,Theft,"Other, Paper",2014-01-23,Not provided,2010-01-13,,2010,Open,,0,Medium,2014-01-23
32,Educators Mutual Insurance Association of Utah ,UT,Health Behavior Innovations (HBI),5700,2009-12-27,Theft,Other,2014-01-23,Not provided,2009-12-27,,2009,Open,,0,Medium,2014-01-23
33,University Medical Center of Southern Nevada,NV,Unknown,5103,2009-10-31,Theft,Paper,2014-01-23,"Between the dates of July 31, 2009 and November 19, 2009, a former UMC volunteer faxed patient face sheets to an attorney who used the sheets to contact prospective clients.  Although UMC only had proof of two disclosures, it chose to notify all 5,301 individuals that could have been affected by the breach.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, and diagnoses.  Following the breach, UMC conducted an internal investigation, notified all 5,301 individuals, notified the media, and notified the Secretary.  Additionally, UMC reformulated face sheets so that they no longer include full social security numbers and provided all possible affected individuals with a year of free credit monitoring.  As a result of this breach, at least one person has been indicted on one count of conspiracy to illegally disclose personal health information in violation of the HIPAA

",2009-10-31,,2009,Open,,0,Medium,2014-01-23
34,Center for Neurosciences,AZ,Unknown,1100,2009-12-15,Theft,Laptop,2014-01-23,Not provided,2009-12-15,,2009,Open,,0,Medium,2014-01-23
35,Brown University,RI,Blue Cross Blue Shield of RI,528,2009-12-11,Other,Paper,2014-01-23,"On January 5, 2010, BCBSRI was notified that a 16 page report pertaining to Brown University's health plan was impermissibly disclosed to two other BCBSRI agents.  The reports contained the PHI of approximately 528 individuals.  The PHI involved: first and last names, dates of service, cost of medical care provided, and member identification numbers.  Following the breach, BCBSRI recovered the reports, received written assurances that any electronic copies of the reports were deleted, notified affected individuals of the breach, implemented new procedure for all outgoing correspondence, and is in the process of auditing all affected members' claim history to ensure no fraud.

",2009-12-11,,2009,Open,,0,Medium,2014-01-23
36,MMM Heath Care Inc. ,PR,"MSO of Puerto Rico, Inc. ",1907,2010-02-04,Theft,Paper,2014-06-03,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 1,907 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.





",2010-02-04,,2010,Open,,0,Medium,2014-06-03
37,PMC Medicare Choice,PR,MSO of Puerto Rico,605,2010-02-04,Theft,Paper,2014-06-03,"The covered entity's (CE) business associate (BA) erroneously merged two lists which led to the disclosure of protected health information (PHI) of 605 individuals.  The PHI included names, internal identification numbers, and the number of emergency room visits.  Upon discovery of the breach, the CE's BA established a quality control process in order to ensure adequate safeguards for that letters that are sent by mail.  As a result of OCR's investigation, the CE created and implemented additional policies and procedures for quality control of mailings.  The CE also provided training to all staff on its revised privacy and security policies and procedures.



",2010-02-04,,2010,Open,,0,Medium,2014-06-03
38,Cardiology Consultants/Baptist Health Care Corporation,FL,Unknown,8000,2009-12-19,Theft,Desktop Computer,2014-06-30,"A desktop computer that contained the e-PHI of approximately 8,000 individuals was stolen from the covered entity's (CE) locked medical suite.  The PHI involved in the breach included names, dates of birth, medical record numbers, ultrasound information, exam dates, and reasons for the ultrasound.  The computer that was stolen used proprietary software and a special electronic key to access the PHI.  The CE provided breach notification to affected individuals, HHS, and the media and posted substitute notification on its website.  Following the breach, the CE worked with law enforcement to identify the possible suspect.  The CE upgraded its facility access controls to include proximity card readers for every location that stores PHI.  As a result of OCR's investigation the CE updated its risk analysis and carried out additional risk management activities.  



",2009-12-19,,2009,Open,,0,Medium,2014-06-30
39,"State of TN, Bureau of TennCare",TN,Unknown,3900,2009-12-23,Theft,Paper,2014-06-24,"The covered entity (CE) mailed the wrong information to 3,900 individuals based on a corrupted data file it received from a state agency.  The types of PHI involved were names, dates of birth, social security numbers, member identification numbers, and in some cases, diagnoses, treatments, conditions, and medications.  Following the breach, the CE immediately fixed the corrupted file and mailed corrected letters.  The CE provided breach notification to HHS, the media, and affected individuals and provided substitute notification by posting on its website.  It also offered affected individuals one year of free credit monitoring and comprehensive credit services.  The CE also worked with the state agency to implement a new procedure to improve safeguards for PHI.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-12-23,,2009,Open,,0,Medium,2014-06-24
40,Lucille Packard Children's Hospital,CA,Unknown,532,2010-01-11,Other,Desktop Computer,2014-01-23,Not provided,2010-01-11,,2010,Open,,0,Medium,2014-01-23
41,University of New Mexico Health Sciences Center,NM,Unknown,1900,2010-02-08,Other,Desktop Computer,2014-01-23,Not provided,2010-02-08,,2010,Open,,0,Medium,2014-01-23
42,Advanced NeuroSpinal Care,CA,Unknown,3500,2009-12-30,Theft,Network Server,2014-04-22,"A computer containing the electronic protected health information (ePHI) of 3,500 individuals was stolen from the office of a covered entity (CE).  The ePHI included patient names, addresses, dates of birth, social security numbers, driver's licenses, claims information, diagnoses, and conditions. As a result of the loss, the CE upgraded the alarm system and replaced the server housing and storage security lock-up.  The CE also notified affected individuals, the media, appropriate government agencies, and law enforcement.  In addition, the CE established an office-based hotline to assist affected individuals.  As a result of OCR's investigation, the CE has implemented regularly scheduled security risk analyses and has installed window bars, roll down shutters, four video surveillance cameras, and other physical security measures to prevent theft.",2009-12-30,,2009,Open,,0,Medium,2014-04-22
43,Aspen Dental Care P.C.,CO,Unknown,2500,2009-10-04,Theft,Other,2014-06-30,"A computer hard drive containing encrypted patient records was stolen from the covered entity's (CE) safe.  The hard drive contained clinical and demographic information of approximately 2,500 patients.  Following the breach, the CE provided additional training to its staff.  OCR obtained assurances that the CE implemented the corrective action listed above.



",2009-10-04,,2009,Open,,0,Medium,2014-06-30
44,Shands at UF,FL,Unknown,12580,2010-01-27,Theft,Laptop,2014-01-23,"A laptop containing certain information collected on approximately 12,580 individuals referred to Shands at UF GI Clinical Services was stolen from the private residence of an employee.  The stolen information included patient names, social security numbers, and medical record numbers.  As a result of the incident, the employee was counseled by her supervisor, issued written corrective action with a 3-day suspension, and provided additional HIPAA training.  OCR reviewed Shands at UF's most recent Risk Analysis and Risk Management Plans and they revealed no high risk findings related to encryption, workstation use, or physical security.  OCR's investigation found that Shands at UF has implemented appropriate technical safeguards, such as secure VPN network connections and network storage for workforce usage, encrypted USB portable flash drives, and PGP whole disk encryption.  

",2010-01-27,,2010,Open,,0,Medium,2014-01-23
45,Wyoming Department of Health,WY,Unknown,9023,2009-12-02,Unauthorized Access/Disclosure ,Network Server,2014-01-23,Not provided,2009-12-02,,2009,Open,,0,Medium,2014-01-23
46,Thrivent Financial for Lutherans,WI,Unknown,9500,2010-01-29,Theft,Laptop,2014-01-23,"On January 29, 2010, there was a break-in at one of the Thrivent's offices and five laptop computers were stolen; four of the five laptops were recovered.  The missing laptop computer contained the protected health information of approximately 9,400 individuals.    The protected health information involved in the breach included name, address, date of birth, social security number, prescription drugs, medical condition, age, weight, etc. Thrivent provided OCR with additional controls to remedy causes of security breach at various stages of implementation.  The actions taken by the CE prior to OCR's formal investigation brought the CE into compliance. 

",2010-01-29,,2010,Open,,0,Medium,2014-01-23
47,North Carolina Baptist Hospital,NC,Unknown,554,2010-02-15,Theft,Paper,2014-01-23,Not provided,2010-02-15,,2010,Open,,0,Medium,2014-01-23
48,Montefiore Medical Center,NY,Unknown,625,2010-02-20,Theft,Laptop,2014-06-03,"An unencrypted laptop computer containing the electronic protected health information (ePHI) of 625 individuals was stolen from the covered entity's (CE) mobile dental van.  The ePHI included names, dates of birth, medical record numbers and dental x-rays.  Upon discovery of the breach, the CE filed a police report and provided breach notification to HHS, the media and affected individuals.  As a result of OCR's investigation, the CE revised its procedures so that all ePHI is stored in a data center, rather than the mobile dental van laptop.  In addition, the CE encrypted all mobile dental van laptops and improved physical security for the van.  The CE developed a new policy on ePHI security and retrained all staff.  OCR obtained assurances that the CE implemented the corrective action listed above.",2010-02-20,,2010,Open,,0,Medium,2014-06-03
49,"Ernest T. Bice, Jr. DDS, P.A.",TX,Unknown,21000,2010-02-20,Theft,"Other Portable Electronic Device, Other",2014-01-23,"Three unencrypted external back-up drives were stolen from a safe in the covered entity's locked office.  The laptop computer contained the protected health information of approximately 21,000 individuals.  The protected health information involved in the breach included names, addresses phone numbers, dates of birth, social security numbers, insurance information, and treatment histories.  Following the breach, the covered entity moved back-up data offsite and encrypted all workstations.  Additionally, OCR's investigation resulted in the covered entity improving their physical safeguards and in retraining employees.

",2010-02-20,,2010,Open,,0,Medium,2014-01-23
50,Lee Memorial Health System,FL,Unknown,3800,2010-01-29,Other,Paper,2014-01-23,"The covered entity sent postcards to approximately 3,800 patients, which listed the patients' demographic information, and a statement that read, 'Your Physician Has Moved,'  with a name and description of the practice, Infectious Disease Specialist. The types of PHI involved were demographic and clinical information. Voluntary actions taken prior to OCR's investigation include the issuance of sanctions and review of policies and procedures.

",2010-01-29,,2010,Open,,0,Medium,2014-01-23
51,"Laboratory Corporation of America/Dynacare Northwest, Inc.",WA,Unknown,5080,2010-02-12,Theft,Laptop,2014-01-23,"A laptop computer was stolen from a workforce member's car.  The laptop computer contained the protected health information of approximately 5080 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, Social Security numbers, and lab results.  Following the breach, the covered entity encrypted all laptop computers.  

",2010-02-12,,2010,Open,,0,Medium,2014-01-23
52,Mount Sinai Medical Center,FL,Unknown,2600,2010-03-09,Theft,Laptop,2014-01-23,Not provided,2010-03-09,,2010,Open,,0,Medium,2014-01-23
53,Griffin Hospital,CT,Unknown,957,2010-02-04,Hacking/IT Incident,Network Server,2014-01-23,Not provided,2010-02-04,,2010,Open,,0,Medium,2014-01-23
54,"Hypertension, Nephrology, Dialysis and Transplantation, PC",AL,Unknown,2465,2010-03-06,Theft,Laptop,2014-01-23,Not provided,2010-03-06,,2010,Open,,0,Medium,2014-01-23
55,Reliant Rehabilitation Hospital North Houston,TX,"Computer Program and Systems, Inc. (CPSI)",768,2010-02-09,Unauthorized Access/Disclosure ,E-mail,2014-01-23,Not provided,2010-02-09,,2010,Open,,0,Medium,2014-01-23
56,"Laboratory Corporation of America / US LABS / Dianon Systems, Inc",AZ,Unknown,2773,2010-02-18,Theft,Other Portable Electronic Device,2014-01-23,Not provided,2010-02-18,,2010,Open,,0,Medium,2014-01-23
57,University of Pittsburgh Student Health Center,PA,Unknown,8000,2010-03-11,"Theft, Loss",Paper,2014-01-23,Not provided,2010-03-11,,2010,Open,,0,Medium,2014-01-23
58,Providence Hospital,MI,Unknown,83945,2010-02-04,Other,Other,2014-01-23,Not provided,2010-02-04,,2010,Open,,0,Medium,2014-01-23
59,VHS Genesis Lab Inc. ,IL,Unknown,6800,2010-01-10,Loss,Paper,2014-01-23,Not provided,2010-01-10,,2010,Open,,0,Medium,2014-01-23
60,John Muir Physician Network,CA,Unknown,5450,2010-02-04,Theft,Laptop,2014-01-23,Not provided,2010-02-04,,2010,Open,,0,Medium,2014-01-23
61,Beatrice Community Hospital and Health Center,NE,"McKesson Information Solutions, LLC",660,2010-03-19,Other,Paper,2014-01-23,Not provided,2010-03-19,,2010,Open,,0,Medium,2014-01-23
62,Pediatric Sports and Spine Associates,TX,Unknown,955,2010-02-10,Theft,Laptop,2014-01-23,"An unencrypted laptop was stolen from an employee's vehicle.  The laptop contained the protected health information of approximately 955 individuals.  The protected health information involved in the breach included names, addresses, dates of birth, social security numbers, diagnoses, medications and other treatment information.  Following the discovery of the breach, the covered entity revised policies, retrained staff and implemented additional physical and technical safeguards including encryption software.  The covered entity also removed the stolen laptop's access to the server, sanctioned the involved employee, notified the affected individuals and notified the local media.  

",2010-02-10,,2010,Open,,0,Medium,2014-01-23
63,"Affinity Health Plan, Inc.",NY,Unknown,344579,2009-11-24,Theft,Other,2014-05-28,Not provided,2009-11-24,,2009,Open,,1,High,2014-05-28
64,Tomah Memorial Hospital,WI,Unknown,600,2010-03-19,Other,Other,2014-01-23,Not provided,2010-03-19,,2010,Open,,0,Medium,2014-01-23
